fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m100,12709,29.098943168482993,1,1.0, 2.18554,6.126173417487716e6,384.52336,13.21434116282477,1.0
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,448.74491,15.421347192517095,1.009
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,447.06378,15.363574305772223,1.018
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,445.41211,15.306813991531156,1.027
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,443.78914,15.25103986035605,1.036
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,442.19413,15.19622643191889,1.045
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,440.62636,15.14234909618749,1.054
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,439.08513,15.089384076583244,1.063
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,437.56978,15.037308394994739,1.072
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,436.07967,14.986099838539069,1.081
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,434.61416,14.935736927969824,1.09
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,433.17266,14.88619888763738,1.099
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,431.75457,14.837465616913224,1.108
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,430.35933,14.789517662995726,1.117
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,428.9864,14.742336195020071,1.126
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,427.63525,14.695902979399978,1.135
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,426.30535,14.650200356333345,1.144
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,424.99621,14.605211217408257,1.153
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,423.70735,14.56091898424965,1.162
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,422.43831,14.517307588150697,1.171
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,421.18862,14.474361450636305,1.18
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,419.95785,14.432065464909346,1.189
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,418.74558,14.390404978133208,1.198
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,417.55138,14.349365774507007,1.207
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,416.37486,14.308934059092378,1.216
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,415.21563,14.269096442353229,1.225
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,414.0733,14.229839925372023,1.234
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,412.94752,14.191151885708324,1.243
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,411.83793,14.153020063867274,1.252
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,410.74417,14.115432550347501,1.261
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,409.66591,14.078377773239817,1.27
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,408.60283,14.041844486349449,1.279
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,407.55461,14.00582175781624,1.288
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,406.52094,13.970298959208707,1.297
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,405.50151,13.935265755068961,1.306
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,404.49603,13.900712092887025,1.315
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,403.50423,13.866628193483992,1.324
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,402.52581,13.833004541784835,1.333
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,401.56052,13.799831877962413,1.342
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,400.6081,13.76710118893555,1.351
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,399.66827,13.734803700204631,1.36
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,398.74081,13.702930868009256,1.369
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,397.82546,13.671474371793213,1.378
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,396.92198,13.640426106962813,1.387
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,396.03016,13.609778177925353,1.396
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,395.14976,13.579522891395138,1.405
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,394.28058,13.549652749955122,1.414
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,393.42238,13.520160445862906,1.423
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,392.57497,13.491038855090283,1.432
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,391.73815,13.462281031586159,1.441
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,390.91172,13.433880201753128,1.45
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,390.09548,13.405829759128446,1.459
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,389.28925,13.37812325926075,1.468
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,388.49284,13.35075441477397,1.477
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,387.70609,13.323717090610716,1.486
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,386.9288,13.297005299447424,1.495
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,386.16082,13.270613197274116,1.504
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,385.40197,13.244535079131953,1.513
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,384.6521,13.218765375001984,1.522
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,383.91105,13.193298645838924,1.531
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,383.17865,13.168129579744,1.54
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,382.45477,13.14325298827123,1.549
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,381.73925,13.118663802861688,1.558
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,381.03195,13.094357071400694,1.567
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,380.33273,13.070327954892932,1.576
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,379.64145,13.046571724250873,1.585
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,378.95797,13.023083757191973,1.594
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,378.28217,12.999859535240411,1.603
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,377.61392,12.976894640829249,1.612
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,376.95309,12.954184754499153,1.621
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,376.29955,12.931725652189874,1.63
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,375.65319,12.909513202621032,1.639
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,375.01389,12.887543364758642,1.648
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,374.38154,12.865812185364282,1.657
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,373.75602,12.844315796623645,1.666
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,373.13722,12.823050413851558,1.675
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,372.52503,12.802012333270628,1.684
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,371.91935,12.781197929860669,1.693
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,371.32008,12.760603655276428,1.702
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,370.72711,12.740226035831007,1.711
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,370.14035,12.720061670542574,1.72
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,369.5597,12.700107229242105,1.729
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,368.98506,12.680359450739916,1.738
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,368.41634,12.660815141048854,1.747
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,367.85345,12.641471171662143,1.756
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,367.2963,12.622324477883906,1.765
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,366.74481,12.603372057210523,1.774
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,366.19888,12.584610967760986,1.783
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,365.65844,12.566038326754583,1.792
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,365.12339,12.547651309034194,1.801
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,364.59367,12.529447145633679,1.81
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,364.06919,12.51142312238776,1.819
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,363.54987,12.49357657858299,1.828
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,363.03565,12.475904905648385,1.837
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,362.52643,12.458405545884318,1.846
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,362.02216,12.441075991228477,1.855
1,m100,12709,29.098943168482993,2.0,1.0, 2.18554,6.126173417487716e6,361.52276,12.423913782057507,1.864
