fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,612.73309,21.056884741255388,1.0
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,608.61319,20.915302125429545,1.009
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,604.56613,20.776222935030884,1.018
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,600.59,20.639581354590522,1.027
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,596.68296,20.505313855663594,1.036
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,592.84322,20.373359098344984,1.045
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,589.06905,20.243657837830675,1.054
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,585.35879,20.11615283572583,1.063
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,581.71083,19.990788775820505,1.072
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,578.12361,19.867512184072712,1.081
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,574.59563,19.746271352555617,1.09
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,571.12543,19.627016267141624,1.099
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,567.71161,19.509698538710897,1.108
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,564.3528,19.394271337685495,1.117
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,561.04768,19.28068933170313,1.126
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,557.79498,19.16890862625616,1.135
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,554.59346,19.05888670813267,1.144
1,m400-4,12709,29.098943168482993,1,1.0, 4.33614,1.219857941348532e6,551.44192,18.950582391506327,1.153
