fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost, cost per cc, N
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,829.14914,28.49413256,1
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,822.87014,28.27835149,1.009
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,816.70217,28.0663858,1.018
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,810.64229,27.85813519,1.027
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,804.68771,27.65350283,1.036
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,798.83569,27.45239524,1.045
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,793.08361,27.25472212,1.054
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,787.42893,27.06039625,1.063
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,781.8692,26.86933331,1.072
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,776.40205,26.6814518,1.081
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,771.02518,26.49667293,1.09
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,765.73637,26.31492046,1.099
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,760.53349,26.13612065,1.108
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,755.41445,25.96020212,1.117
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,750.37723,25.78709579,1.126
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,745.41991,25.61673476,1.135
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,740.54058,25.44905424,1.144
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,735.73743,25.28399145,1.153
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,731.00868,25.12148557,1.162
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,726.35262,24.96147765,1.171
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,721.76758,24.80391053,1.18
1,m400-4,Ti6Al4V,29.09894317,1,1,6.21166,923089.6966,717.25196,24.64872877,1.189
